,result
4934,"['CELLBELL', 'NESN', 'A-44cm', 'F-53cm', 'Height Sustainability-5.2Ft-6Ft', 'B-61cm', 'G-64cm', 'Weight Sustainability-105 kgs', 'C-47cm', 'D-49-60cm', 'E-91-105 cm', 'A', 'E', 'B', 'D', 'G']"
4935,"['Size', '120cm Width x 150cm', 'Drop', 'Colour', 'White - Pvc Plain', 'Material', 'Polyvinyl Chloride', 'Mounting type', 'Outside Mount']"
4936,"['40.6cm', '160cm', '26cm', '26cm']"
4937,"['2.8CM/1.1IN', '9CM/3.54IN', '15.3CM/6IN', '15.3CM/6IN', 'or', '7CM/2.76IN']"
4938,"['RGB Flow Cable', '66WSuperCharge', '26.43%', 'Max66W']"
4939,[]
4940,"['CALIMAERO', 'High quality PVC', '-UV resistant (no yellowing)', 'temperature range-15C', 'to 40C', '- splash-proof IPX4', 'Hochwertiges PVC:', '-UV-bestandig (kein Vergilben)', '-Temperaturbereich-15C bis 40C', 'EASY TO INSTALL', 'spritzwassergeschutzt IPX4', 'AND CONNECT', 'Powerconnection 230V', 'Stromanschluss 230V', 'Installation frame for window installation', 'Einbaurahmen fur den Fenstereinbau']"
4941,"['EVEREST', 'MOLDED FURNITURE', 'Weather &', 'Lightweight', 'Sturdy design', 'Capacity', 'Easy to stack', 'UV resistant', 'upto 125 Kg', 'and move']"
4942,"['GroBe Spezifikation Anzeige', 'KG', 'Tragfahigkeit: bis zu 150 kg / Satz', ""12mm/0.47'"", '20cm/8""', '1.5cm/0.6""', '3.3cm/1.3""', ""120mm/4.7'"", '6mm/0.24""_', '2cm/0.8""', 'M5 Screws']"
4943,"['PAS MODE', 'ELECTRIC MODE', 'BMS', '48V 10AH', 'BUILT-IN', 'Power Saving', 'Li-lon Battery', 'Waterproof']"
4944,"['24""', '18', 'For dogs & cats up to', 'inch', '25 pounds', '3 inch', '24inches', '30""', '20', 'For dogs & cats up to', 'inch', '40 pounds', '3inch', '30inches', '36""', 'For dogs & cats up to', 'inch', '60 pounds', '3inch', '36inches', '42""', 'For dogs & cats up to', '28', 'inch', '95 pounds', '3.5 inch', '42inches', '48""', 'For dogs & cats up to', '30', '120 pounds', 'inch', ' 4 inch', '48inches']"
4945,"['0', 'Intelligent up and down regulation', 'Mattresses of general', 'thickness', 'Can adapt to a variety of mattresses, more secure and', 'comfortable', '83cm', '70cm', 'First gear', 'Second gear', 'adjustment', 'adjustment']"
4946,"['JLOBEAUTY', 'THAT LIMITLESS GLOW', 'ONE MASK UN MASQUE', '1.2 0z35 g)', 'IAH']"
4947,"['We believe in working with', ""nature, not against it. That's"", 'why we use only the highest', ""Nature's"", 'quality raw materials in our', 'Craft', 'Natures Craft products', 'Horny Goat', 'Weed', 'Horny Goat', 'DVANCED COMPLE', 'Weed', 'DIM', 'EWLOO', 'Complex', 'DIM', 'Complex', 'Green Coffee', 'Bean Extract', 'Green Coffee', 'Bean Extract', ""DIET & WEIGHT'"", 'AMECRAFT', 'NEW LOOK', 'SAMECRAFT', 'Cral', 'Female', 'Resveratrol', 'SAM-e', 'Fertility Support', ""ANTIOXIDANT SUPPORT'"", 'Chia', 'Female', 'Supports Healds Health', 'Seed Oil', ""S WELLNESS'"", 'HEART SUPPORT']"
4948,"['1200W', 'PEAK', 'POWERFUL MOTOR', '28-31mph', 'ELECTRIC MODE', '29-33', 'mph', 'PAS MODE', '90-110N.M', 'TORQUE', '35-40', 'GRADEABILITY']"
4949,"['Every Tree-Free 5""x 7card', 'comes with a matching', 'ARTvelope!', 'sarah Jaylor', '3 trifCt', 'teene,n03431']"
4950,"['Transparent Modern & Simple Design', 'Suitable for Any Drawer or Countertop Decoration', '18.5""', '13""', 'Store up to 28 4 oz Spice Jars', 'Stacked for Expand fits Drawer Width 13 inch']"
4951,"['NDC58232-4024-2', 'ULTRA STRENGTH', 'NON-GREASYCREA', 'BENGAY', 'PACK', 'PAIN RELIEVING CREAM', 'STRONGEST BENGAYFORMULA EVER', 'DEEPPENEIRATING PAIN RELIEP', 'Fost relief from minor arthnts bockoche musce & joint pain', '2 TUBES INSIDE!', 'NTS240Z13TUBESNETWT8OZ 226g', 'NOC58232-4004-2', 'ULTRA STRENGTH', 'NON-GREASY CREAM', 'BENGAY', 'PAIN RELIEVING CREAM', 'STRONGEST BENGAYFORMULA EVER', 'DEEP PENETRATING PAIN RELIEF', 'Fost ref from inr arhnbockocemusce& joit pin', 'More than any other BENGAr produt', '2 TUBES INSIDE!', 'CONTAINS240Z (113gTUBES NET WT8OZ (226 g']"
4952,"['COME ASSUMERLA', 'Per adulti Ia dose consigliata e di 30 gocce (1,5', 'Per i bambini sopra i 3 anni 1O gocce diluite in', 'acqua da 1 a 3 volte al giorno', 'HOW TO TAKE T', 'For adults the recommended dose is 30 drops', '(1.5 ml) diluted in water 2 to 3 times a day', 'For children over 3 years of age 10 drops', 'diluted in water 1 to 3 times a day..']"
4953,"['Label', 'Sturdy Metal Hooks.', '4 sturdy metal hooks convenient for you', 'to hang Sundries', 'Label', 'Label', 'Label', 'Label']"
4954,"['1', '1.Unlock the side buckle', '2', '2.MUST put the camera into', 'FRONT shell first', '3', '3.Cover and buckle the camera with', 'BACK shell.']"
4955,"['UNG', 'HLNOW', 'WARRANTY', 'SEMBLED IN CHINA', 'OREE ASSEMBLEEN CHINE', 'Second.', 'ONTADONA CHINA', 'NominalVoltage 3.8V/9.88 Wh', 'onBattery', 'Charge Voltage 4.35V/2600 mAh', '1ICP6/57/61', 'CE']"
4956,"['27.5 cm/11.8 in', 'FCCE', 'Smart Aquanium Light', '10 cm/3.9 in', 'Made in China', 'DC 15V', '150 cm/4.9 ft', '18 W', '1.8 cm/0.7 in', '30 cm/12 in', '45 cm/18 in']"
4957,"['2.25""', '5""', '3.25""']"
4958,"['15WRADARMICROWAVE MOTION', 'SENSORLEDLIGHTWITHAUTO', 'DIMMINGFOR, STAIR,PARKING,LOBBY', '20', 'Motion detection', '230Volt', 'Easy Installation', 'IP20 Rating', 'operated', 'www.blackt.in']"
4959,"['250ml', '104mm', '67mm', '67mm']"
4960,"['Salute e Sicurezza', ""Il braccialetto ottiene I'effetto di respingere le zanzare imitando i suoni che le zanzare"", 'femmine odiano, come i suoni delle zanzare e delle libellule maschi.', '0021', 'Spray repellente per zanzare', 'Antizanzare elettrico', 'Bobina di zanzara']"
4961,"['20cm', '35L', '0.42kg', 'Capacity', 'Weight', '25.5cm', '38cm', 'houlder strap', '57-110cm', '50cm', '25cm', 'Sturdy chandle', 'Waterproof', 'Back strap design', 'Strong Hook.']"
4962,"[""Choc'o"", 'REO', 'BROWNIE', '154g', 'FLAVOUR""']"
4963,"['o noh', 'apable', 'Chosen', 'Mark 10:27', '1 Thess. 1:4', 'Created', 'Always Joned', 'Gen.1:31', 'Rom.8:38', 'Enough', 'Eccl.3:11', '2 Cor. 12:9', 'Neuer Alone', 'pEl:h 144', 'Matt.28:20', 'Victorions', 'Rom.8:37']"
4964,"['TW', 'F', '50', '120', '07', '100', '30', '80', '20', '38c M', '60', '10', '40', '20', '10', 'Modein', '20', '7.5c m']"
4965,"['11,5 cm', '11,5 cm', '11,5 cm', '60 cm', '11,5 cm', '11,5 cm', '7,5 cm', '77 cm', '80 cm', '9,5 cm']"
4966,"['VALOR NUTRICIONAL (100 g)', 'NURTITIONAL INFORMATION (100 g)', 'Energy', '1000kJ/240 kcal', 'Valor energetico', '0g', 'Fat:', 'Grasas:', '0g', 'de las cuales saturadas', 'of which saturates', '96 g', 'Carbohydrate:', 'Hidratos de carbono', '0g', 'de los cuales azucares', 'of which sugars', '0g', 'Proteinas', 'Protein', '0g', 'Sal', 'Salt']"
4967,"['10', 'C', 'HOWTOFASTCHARGEE', 'Original wall charger', 'Computer USB Port', 'of your phone', 'FAST CHARGING REOUIRES', 'DRIG NAL ADAPTER OR OC ADAPTER', 'Samsung Galaxy S20/S20+/S20Ultra/Note 10: requires a QC / AFC protocol charger', 'with a 18W USB A port (The origina charger is a PD fast charging with a 25 W USB C Port)']"
4968,"['Maximale InnenmaBe', 'actiforce', '23cm', '31cm', '36cm', '34 cm', '13cm', 'Hohe 3.6cm', 'Maximal bis zu 20KG belastbar', 'Komm an alle Unterlagen jederzeit heran,.', 'duech das Premium Schiensystem lasst sich jedes', 'Fach 100% offnen']"
4969,"['POWERFUL&EFFICIENT', 'RIDING', 'SYSTEM', '350W', 'Rear Hub Motor', '52V/7Ah', 'Battery', 'TekroM300', 'Mechanical Disc Brakes', '40Miles Range', 'Per Charge', '(estimate)']"
4970,"['INTERNATIONAL', 'DESIGN', '8.9 kg', 'B87xH104-cm', 'chicco', 'B 97xH97-cm', 'cortinacx', 'B41xH97-cm']"
4971,"['SHATAVARI', 'ORGANIC CAPSULE', '%Daily Value', '1000 mg**', 'HEBHAC HERBS', '*These statements have n', 'ORGANIC', 'Administration.Our product', 'egetable Cellulose(Capsule)', 'preventany disease.', 'SHATAVARI', 'n once or twice daily,preferably wit', '/ your health practitioner', 'Storage:Store in a cool&Dry', 'Keep out of the reach of childr', 'Please consult with your healthcar', 'TRADITIONAL AYURVEDIC HERB', 'PR', 'this product If you are pregnant o', 'veamedicalcondition.', 'fssai-Lic.N', 'Made With', 'CertifiedOrganic By Or', 'Organic Shatavari Powder', 'ad,', 'OneCert', '-1000mg', '58043', 'INDAAGRK', 'Exp.Date:', 'NOFILLERS NO BINDERS GLUTENFREE', '1000', '90', 'Capsules', 'Herbal Supplement', 'mg']"
4972,['THMER']
4973,"['8""', '1/8""']"
4974,"['200cm', '45cm', '135cm']"
4975,"['SIZES', '16 inch', 'I 0.6 inch', '19.5 inch']"
4976,"['Factory', 'Test', 'U.S. Patent', 'SGS', 'Test Report', '263kg', 'Bnotid', 'States', 'TheDirector']"
4977,"['Copper', '3.3cm(1.30in)', 'Zircon', '3.3cm(1.30in)', 'Chain length: 45cm(17.7inch)', 'Weight:5g', 'Pendant + chain']"
4978,"['Wide Size: 72inch', 'Hig', '5', 'DREAM', 'BE', 'WORK', 'N', 'oig', 'pesitive', 'hard', '3', '6inch', 'ALL OUR DREAMS CAN COME TRUE', 'ANEGATIVE MIND', 'SUCCESSFUL PEOPLE ARE NOT GIFTED;', 'IF WE HAVE THE COURAGE TO PURSUE THEM.', 'WILLNEVER GIVE YOUA POSITIVE LIFE.', 'THEY JUST WORK HARD,THEN SUCCEED ON PURPOSE', '24inch', '24inch', '24inch']"
4979,"['Gift set', 'MOISTURIZING+ELASTICITY', '7DAYS', 'HboursTdassawee', 'my', 'HYALU', 'beauty week', 'RONI', 'BOMB', 'my', 'peauty week', 'HA 1%', 'my', 'beauty week', 'Aqua Infusion', 'H2O', 'water', 'my', 'eauty wee', 'HA 1%', 'hyaJuronic', 'eserum', 'HO', 'valuronic', 'iceserum', 'URONIC MASK2-IN-1 & HYALURONIC FACE SERUM', 'CREAM AND MASK 2IN1EXTRA', 'SERUM EXTRA MOISTURIZING', 'my', 'beauty week', 'MOISTURIZING AND ELASTICITY', 'AND ELASTICITY', 'PRO HYALURONIC', 'PRO HYALURONIC', 'hyaluronic mask2-in-1']"
4980,"['IMOUA', 'Vaquaria""', 'CHOICE', 'GOAT HEART MIX-GROW', 'GOATHEARTMIX-GROW', 'GOATHEARTMIX-GROW', 'GOATHEARTMIX-GROW', 'GOATHEARTMIX-GROW', 'GOATHEARTMIX-GROW', 'GOATHEARTMIX-GROW', 'Frozen Food', 'Suitable for', 'Discus&other', 'Tropical Fishes', '24 Cubes', 'GQty 100 gm']"
4981,"['SIZE', '2.2~2.6 inch', '2.7~3.1inch']"
4982,"['LONG', 'TESTED&', 'LASTING', 'ROV', 'PROVEN', 'LEMON ZEST', 'NETWEIGH', '12 0Z (340g))', 'FRESHENING CANDLE']"
4983,"['12cm/4.72in', '1.6cm/0.63in']"
4984,"['ANUTRA', 'LUNG DETOX&LEANSE', 'Supportlungdtoxiftionanddeans', 'ingfthrirtrysst assistingin', 'maintaining healthylungs.', 'ORGANIC', 'RESPIRATORY HEALTH', 'It helps to soothe and comfort the air', 'ways,assistsieringesmuus&', 'MOLLEIN', 'promotes repirtry well-being.', 'LUNG CLEANSE', 'BRONCHIAL SUPPORT', 'Sooth& help to alleviat discomfort', '144,000', 'MG', 'tionandupportinghthy espiratory', 'function.', 'NUTRA', 'PER BOTTLE', 'HARMONY', 'USDA', 'ORGANIC', 'JRALTA', 'USDA', 'COMPLIANT', 'ORGANIC', 'ORGANIC', 'MOLLEIN', 'LUNG DETOX & CLEANSE', 'EXTRACT', 'RESPIRATORY HEALTH', 'VEGAN', 'BRONCHIAL SUPPORT', 'OS LUNG', 'G CLEANSE', '4 FL 0Z (120 ML)', 'MAD', 'HAPPINESS GUARANTEE', 'MADE IN USA', 'DIETARY SUPPLEN', 'SUPPLEMENT', 'reachoutousuport@nutra-hamony.com']"
4985,"['OMEGA-3', 'Nordic Naturals Omega-3 offers 1560 mg of omega-3 fatty acids perserving', 'Adequate omega-3 intake is essential to support foundational healthand', 'verall well-beinginudingheart andbrain functionas well asmood', 'cognition, and immunity.', 'Certified', 'Superior', 'No Fishy', 'Sustainable', 'Absorption', 'Aftertaste', 'At Nordic Naturals we make all our fish oils using freshwild-caught fish to deliver', 'tiglyceride-form omega-3s for better results.Certified sustainable and always', 'surassingthe strictest purit standards our award-winning fish oils mbodyour', 'commitment to the health of people and our oceans.', 'health care professional.', 'if you are allergic to iodine.', 'Scan the QR code below to check', ""your product's test results."", 'NON-GMO', 'TESTED']"
4986,"['Removable Dividers', 'Removing the dividers to hold', 'B244', 'B245', 'BG73', 'B235', 'Wave Blue', 'Marin', 'Azure Blue', '2 markers in one compartment', 'E12', 'E170', 'E20', 'E173', 'Light Coffee', ""Chamo's"", 'Sunan', 'Y8', 'Y9', 'YR218', 'YR219', 'Naples', 'live Gold', 'ea Rose', 'Aprico!', 'YR158', 'YR159', 'Caumum', 'YR160', 'YR161', 'Orange', 'Rusty Red', 'G230', 'G231', 'G59', 'G61', 'Jade', 'eafGree', 'YG10', 'YG11', 'YG13', 'YG14', 'Garkn', 'Celery Ye', 'emon Gree', 'Perfect for Stampin.', 'Blends, keeps the light.', 'and dark colors paired', 'together.']"
4987,"['3 1/4""', '5 1/4""', ""3/4'""]"
4988,"['8', 'Lighting', 'Modes', ')Combination', 'In Waves', 'Sequential', 'Slo-Glo', 'ETD', 'Chasing/Flash', 'Slow Fade', 'Twinkle/Flash', '8Steady On', 'Press the button to set', 'up your mode']"
4989,"['24 PACK', 'One group consisted of small x 6 PCS', 'medium x14PCS.and largex4 PCS', '14', 'PCS', '4', 'PCS', '6', 'PCS']"
4990,"['Energy Efficient LED', 'Featuring outstanding environmental', 'performance, switch your traditional', 'desk lamp to ours to help reduce the', 'electricity bill by up to 75%', 'Input: 100-240V 50/60Hz, 0.2A', 'Output: 5v-1A', 'Power: 5W', 'No blue laser', 'CRI', 'CRI: 80+']"
4991,"['VERVEINE MENTHE/VERBENA MINT', 'INFUSION AROMATISEEVERVEINE.MENTHEVERTE', 'INFUSAO AROMATIZADA DE HORTELA E LUCIA-LIMA', ""1.Rincez uotre machine en faisant couler de l'eau pendant 3 a 5 secondes.sans"", ""capsule.2.Retirez l'opercule qui recouure la capsule pour decouurir le filtre papier"", ""3.Inserez la capsule dans uotre machine.4.Versez enuiron 200ml ou le uolume d'eau"", ""que uous souhaitez pour une tasse d'intusion parfaitement a uotre gout"", '1.Lique a sua maquina (sem capsula) e deixe a aqua correr durante 3-5 sequndos', '2.Retire a pelicula superior.para mostrar o filtro de papel da capsula.3.Coloque a', 'capsula na sua maquina.como faz habitalmente.4.Idealmente deuera seruir em', 'modo longo (200ml) ou a seu gosto', 'INGREDIENTS:menthe uerte (64%).verueine (30%).arome naturel de menthe uerte', 'INGREDIENTES:Hortela (64%).lucia-lima (30%).aroma natural (6%)', '**Compatible auec les machines Citiz. Essenza,U.Pixie.Maestria.Lattissima et', 'Inissia.Nespresso et les noms des machines sont des marques deposees', ""appartenant a la Societe des Produits Nestle S.A. qui n'a aucun lien auec le Groupe"", 'Unileuer et/ou les societes du groupe Unileuer. *Compatiuel com maquinas Citiz', 'Essenze.U. Pixie,Maestria, Lattissima e Inissia.Os nomes Nespresso@ e dos', 'fabricantes das maquinas sao marcas reqistadas da Societe des Produits Nestle S.A', 'O proprietario das marcas registadas nao esta ligado a Unileuer,Unileuer FIMA e/ou', 'CONSERVER AUSECET ATEMPERATURE AMBIANTE./', 'En partenariat avec TerraCycle@', 'CONSERVAREM LOCAL SECOEFRESCO', 'Lipton@ recycle ses capsules et', 'leur donne une seconde vie.Plus', 'A consommer de preference auant fin:/Consumi', ""d'informations sur"", 'www.terracycle.fr', 'de preterencia antes do tim de:uer embalagem', 'Programme de recyclage', 'TERRACYCLE', 'uniquement valable en France', 'Recycling programme onty', 'available in France', 'Valeurs nutritionnelles mouennes:/', 'Valores nutricionais medios', 'MIXTE', '100ml of infusion typically giues you', 'Emballage', 'Embalagem', 'Enerqie/Energia', '<17 kJ|<4 kcal', 'FSC', 'FSC-C110875', '<0.5g', 'Matieres grasses/Lipidos', 'dont acides gras satures', '<0.1g', 'dos quais saturados', 'PENSEZ', '<0.5g', 'Glucides/Hidratos de Carbono', 'AU TRI!', '-dont sucres / dos quais acucares', '<0,5g', 'Proteines/Proteinas', '<05q', 'OPERCULE', 'BOITE CARTON', 'AJETER', 'A RECYCLER', '0.01q', 'Sel/Sal', ""*Pour 100ml,pour une capsuleinfusee dans 200mld'eau"", '(sanssucre)./*Baseadonainfusaodeumacapsulaem200ml', 'NSIGNE POUVANT VARIER LOCALEMENT', 'WWW CONSIGNESDETRIFR', 'de aqua (sem adicao de acucar']"
4992,"['36V 10.4Ah', '3 HRS FAST CHARGE', 'Pedal-assist', 'Throttle mode', 'BMS Power', 'Waterproof Rating', 'saving', 'IP54 Battery pack']"
4993,"['65mm / 2.56""', '20mm / 0.79""']"
4994,"['44cm/17.3""', '19cm', '/7.5""', '!', '21cm', '/8.3""', ':', ':', '21cm', '161cm', '/8.3""', '/63.4""', '85.5cm', '/33.6""', '16.5cm', '/6.5""']"
4995,"['HOU 3 in 1', 'Comune 3 in 1', 'Design del brevetto pull unilaterale', 'Super ricarica', 'Nessuna super ricarica', '94.70%', '24.70%', 'Super Charging', 'Max40W', '2638', '2638', '5A Super Ricarica']"
4996,"['ab', '((0))', 'Radio', 'Gold-plated', 'Full HD 108Op', 'DVB T2/C2/S2']"
4997,"['MECHANISCHESSTEUERUNGSSYSTEM', 'T.I.P.', 'Installationsfertige Druckschaltung', 'TECHNIK +KOMPETENZ']"
4998,"['100Calorie', '100Calorie', 'WALNUTS&ALMONDS', 'Pack', 'WALNUTS&ALMONDS', 'NETWT0.95', 'TWISTS', 'TINY', 'ORIGINAL']"
4999,"['Scientifically tested to', '+', 'reduce tartar buildup.', 'Proudly Produced', 'VOHC', 'in Clinton,IA', '***********', 'HELPS CONTROL', 'TARTAR', 'HPURINA', 'Dentalife', 'DENTAL TREATS FOR CATS', 'Crunchy,porous texture', 'Allows tooth to penetrate', 'for an effective clean', 'Scientifically tested to', 'reduce tartar buildup', 'With added calcium', 'and taurine', 'Tasty Chicken Flavor', 'NET WT 1.8 OZ (51 g)']"
5000,"['57026-002', '20g']"
5001,"['Diameter: 6.2inch', 'Height', 'Diameter: 4.2inch', '7.2inch', 'Height', '5.5inch', 'Height', '1.9inch']"
5002,"['ONE-BUTTON AUTOMATIC CLEANING', 'Intelligent Operation Instead of Manual Operation', 'Dazzling Blue Light', 'Ice cubes are more', 'convenientto observe', 'VEVOR', '00:28', '27W High-End Water Pump', 'Not prone to undrained failure,.', 'high stability']"
5003,"['Nutrition Facts', 'about 3 servings per container', 'Serving size', '30 pieces 30g', 'Per serving |Per container', '100280', 'Calories', '%DV*', '%DV*', 'Total Fat', '0g', '0%', '0g', '0%', 'Sodium', 'Omg', '0%', 'Omg', '0%', 'Total Carb.', '23g', '8%', '66g', '24%', 'Total Sugars', '19g', '54g', 'Incl. Adde Sugars', '19g', '38%', '54g', '108%', 'Protein', '1g', '4g', '%DV=%Daily Value']"
5004,"['Product Size', '24cm/9.45inch', 'Sreams', '18cm/7.09inch']"
5005,"['7 CM', '12,5 CM']"
5006,"['8 cm/ 3.25 inch', '18 cm/8 inch']"
5007,"[""Fiche d'information sur le produit"", ""REGLEMENT DELEGUE (UE) 2019/2013 DE LA COMMISsION en ce qui concerne I'etiquetage"", ""energetique des dispositifs d'affichage electronique"", 'Parametre', ' Parametre ou valeur et', 'Unite', ' precision', ' Nom ou marque commerciale du fournisseur.', 'MEDION', 'Adresse du fournisseur.', ' Medion Service, Am Zehn-', ' thof 77, 45307 Essen, DE', 'Reference du modele', 'MD 30327', ""Classe d'efficacite energetique pour la gamme dyna-"", 'mique standard (SDR)', ' Puissance appelee en mode marche en SDR', '27,4w', ""Classe d'efficacite energetique pour la haute gamme"", 's.o.', 'dynamique (HDR)', 'S.o.', 'w', '6', ' gamme dynamique (HDR), le cas echeant', 'Puissance appelee en mode arret, le cas echeant', 'S.o.', 'W', '8', ' Puissance appelee en mode veille, le cas echeant', '0,3', 'W', 'Puissance appelee en mode veille avec maintien de', 'S.o.', 'W', ' Ia connexion au reseau, le cas echeant', '10.', ""Categorie de dispositif d'affichage electronique"", 'Televiseur', '11.', 'Rapport de taille', '16', '9', '12.', "" Resolution d'ecran"", '1 366', '768', 'pixels', '13.', ""Diagonale de I'ecran"", '80,0', 'cm', '14.', "" Diagonale de I'ecran"", '32', 'pouces', '15.', "" Surface visible de I'ecran"", '27,3', 'dm2', '16.', ""Technologie d'affichage utilisee"", 'LCD', '17', ' Reglage automatique de la luminosite (ABC) dispo-', 'Non', 'nible', '18.', 'Capteur de reconnaissance vocale disponible', 'Non', '19', 'Capteur de presence disponible', 'Non', '20', ""Taux de frequence de rafraichissement de I'image"", '60', 'Hz', '(par defaut)', ' Disponibilite minimale garantie des mises a jour du', '8Annees', 'logiciel et du micrologiciel (a compter de la date de', ' fin de mise sur le marche)', '22.', 'Disponibilite minimale garantie des pieces de re-', '7Annees', 'change (a compter de la date de fin de commerciali-', ' sation)', '23.', ' Assistance produit minimale garantie', '10', 'Annees', 'Duree minimale de Ia garantie generale offerte par', '2', 'Annees', 'le fournisseur', '24.', "" Type d'alimentation"", 'Interne', '25.', "" Alimentation externe (incluse dans I'emballage du produit)"", 'i', ""Tension d'entree"", 'v', 'ili', ' Tension de sortie', 'V', '26.', "" Alimentation externe normalisee (ou appropriee si non incluse dans I'emballage du produit)"", 'Tension de sortie requise', 'iii', 'Intensite du courant a fournir (minimale)', 'A', 'Frequence du courant requise', 'Hz']"
5008,"['12cm/4.7in', '3cm/1.18in', '13cm/5.1in', '7cm/2.7in', '53cm/20.8in', 'LIGHT SOURCE', 'BUILT-IN LEDCHIP', 'COLOR TEMPERATURE', '4000K', 'POWER', '24W', 'VOLTAGE', '110V-265V']"
5009,"[""4.72'"", '0.79""', 'Techinical Details', 'Adjustable', 'Material:Metal', '51.5""', 'Finsih: Oak Paint+ Matte Black', 'Color: Oak + Black + Gold.', 'Voltage :110v-130V', 'Max 72""', 'Sockets:E12', 'Bulb Wattage: Max 60w Each.', 'Types of Bulbs Compatible:LED/CFL', '/Edison(bulb not included ).', 'Additional Information:Adjustable', 'Chain(Height)/ETL Listed', '5.5""', '23""']"
5010,"['14.2""', '9""', '5.1""', 'Bulb Base:G9', 'Compatible with all G9', '4.72""', 'base bulbs(MAX 40W', '(Bulb NOT Included)', '9.4""']"
5011,"['Colour', 'Stripes Orange', 'Material', 'Cotton', 'Furniture Finish', 'Cotton', 'Maximum Weight', 'Recommendation', '30.0 Kilograms']"
5012,"['23mm/0.91""', '27mm/1.06""', 'Weight:21.0g/0.74oz']"
5013,"['%', '4', '#', '3', 'R', 'esc', '2', 'E', '60W PD Fast Charging', 'W', 'Q', 'D', 'Up to', 'S', 'A', 'tab', 'X', 'caps lock', 'comm', 'shift', 'option', 'control', 'fn']"
5014,"['8ONM', 'Couple', 'Max Output']"
5015,"['Stationery Storage', 'Cosmetic Storage', 'SUICK', 'Tool Storage']"
5016,"['65MM', '102MM']"
5017,"['Clinically', 'Proven', 'Guaranteed', 'Results', 'Up to', '30', '30Uses', 'Pregnancy', 'Safe', 'Hypo-', 'allergenic', 'Safe &', 'Natural']"
5018,"['LED Ceiling Lamp', 'Model', 'B023', 'RatedVoltage', '110V220V', 'Rated Frequency', '50/60Hz', 'Rated Power', '12W', 'Manufacturer', 'Zhongshan City Qimeiao Lighting Co.Ltd', 'Address', '1,No 16-1,Fuging 5th Road,Hengdong Village,Henglan Town,', 'Zhongshan City Guangdong Province,China', 'Contact Information', '+86075523595786', 'E2EURO Consulting GmbH', 'EC', 'REP', 'Hoferstasse 9B,71636 Ludwigsburg', 'Germany', 'E', 'Made in China']"
5019,"['PRODUCT DIMENSIONS', '4.5in/11.4cm', '2.76in/7cm']"
5020,"['THYROID', 'THYROIDE', 'IODINE+', 'IODE', '2FLOZ (59.2ML', 'NPN80101826', 'CODE@AC', 'Liquid', 'Non', 'Unflavored', 'Vegan', 'Drops', 'GMO', 'CODEAGE']"
5021,"['HAPPYBARBECUE TIME', '2000w power Rapid heating']"
5022,"['38cm/15inch', '6cm/2.36inch', '47.2cm/18.5inch']"
5023,"['28cm', '9cm', '24cm']"
5024,"['Liquid Curcumin', 'Distilled from', 'Turmeric.', 'KURK', 'for pain-relief, inflammation & brain-function.', 'KURK', '30ml e', 'Cola', '30ml C', 'CLASSIC COLA', '30WO']"
5025,"['CLY', 'others', '8888888', '15W', 'CLY', 'VS', 'other 15W', 'upgrated 25w', 'W : 2000lm', '900lm', 'RF 360 remote control', 'IR precise remote control', 'Timing function', 'No timing function', 'Remote control distance 12m', 'Remote control distance 8M']"
5026,"['Chain Length: 71cm', 'Clasp: Adjustable', 'Weight: 5.10g', 'Metal: Sterling Silver', 'Finish: Polished.', 'Chain Width: 0.14cm', 'Style: Spiga', 'Width: 0.13cm', 'Details: Hearts 0.8cm x 1.05cm, Ball Slider 0.6cm']"
5027,"['DETOX', 'ORGANICA', 'Vegan', 'LIqUD', 'CHLORO-', 'PHYLL', 'DETOX', '6000mg', 'ORGANICA', 'PEPPERMINT', 'FLAVOUR', 'CTURED', 'Vegan', 'LIQUID', 'CHLOROPHYLL', 'TURED', '6000mg', '100mg', 'PEPPERMINT', 'FLAVOUR', 'per serving', '100mg', 'Liquid Chlorophyll (6000 mg)', 'ACTUREL', 'per serving', 'APPROX2O00 DROPS', 'Liquid Chlorophyll (6000 mg)', 'FOOD SUPPLEMENT', 'APPROX 2000DROPS | FOOD SUPPLEMENT', '6O ml', '60 ml']"
5028,"['116cm/45.67""', '120cm/47.24""', '100cm/39.37""']"
5029,"['1.18in/3cm', '8.4in/21.5cm']"
5030,"['100 cm / 39 in', '140 cm 755 in']"
5031,"['Ceiling Light', 'DINGLILIGHTING', 'Depuley', 'Depuley', 'WSCL33-02/WS-FNC19-40B', 'Power:2xMAX.40W', 'Voltage :110-120V/220-240V 50/60Hz', 'DINGLILIGHTING', 'Lamp 8ase :2 x E12/2 x E14', 'Foshan Vance Photoelectric Technology Co.Ltd', 'No.279 baian road junan communityjunan town shunde district foshan cit', 'MADE IN CHINA', 'QUETT', 'n']"
5032,"['Ultra Compact Design', 'RIMIES', '1.6 inch', '1.6 inch', '20% Smaller']"
5033,"['3.9in', '2.6in', '15.7in']"
5034,"['24cm/9.45in', '14.5cm/5.7in', '32-57cm/12.59-2.44in']"
